category,price,currency,price_1m2,title,address,floor,area,title_deed,repair,mortgage,url,room_number
Yeni tikili,599 000,AZN,1 800 AZN/m²,"Satılır 5 otaqlı yeni tikili 333 m², Nəsimi r.",Qulu Quluyev küçəsi,17 / 17,333 m²,var,yoxdur,,https://bina.az/items/3114283,5
Yeni tikili,1 000 000,AZN,4 200 AZN/m²,"Satılır 4 otaqlı yeni tikili 238 m², Nəsimi r.",Fizuli küçəsi,7 / 15,238 m²,var,var,,https://bina.az/items/3026228,4
Yeni tikili,146 900,AZN,2 100 AZN/m²,"Satılır 3 otaqlı yeni tikili 70 m², Xalqlar Dostluğu m.",Babək prospekti,2 / 17,70 m²,var,var,var,https://bina.az/items/3866661,3
Yeni tikili,96 000,AZN,1 480 AZN/m²,"Satılır 3 otaqlı yeni tikili 65 m², Həzi Aslanov m.",Ramiz Quliyev küçəsi,4 / 14,65 m²,yoxdur,var,,https://bina.az/items/3750113,3
Yeni tikili,500 000,AZN,1 430 AZN/m²,"Satılır 7 otaqlı yeni tikili 350 m², Badamdar q.",İzzət Nəbiyev küçəsi,7 / 9,350 m²,var,var,,https://bina.az/items/3060320,7
Yeni tikili,750 000,AZN,2 630 AZN/m²,"Satılır 5 otaqlı yeni tikili 285 m², 28 May m.",28 May küçəsi.,13 / 18,285 m²,yoxdur,var,,https://bina.az/items/3653787,5
Yeni tikili,340 000,AZN,2 310 AZN/m²,"Satılır 3 otaqlı yeni tikili 147 m², 28 May m.",28 May küçəsi.,10 / 18,147 m²,var,yoxdur,,https://bina.az/items/3653751,3
Yeni tikili,480 000,AZN,3 560 AZN/m²,"Satılır 3 otaqlı yeni tikili 135 m², Bayıl q.",Əli Nəzmi küç.,10 / 17,135 m²,var,var,,https://bina.az/items/3797194,3
Yeni tikili,209 000,AZN,2 860 AZN/m²,"Satılır 2 otaqlı yeni tikili 73 m², İnşaatçılar m.",Şərifzadə küçəsi,10 / 16,73 m²,var,var,,https://bina.az/items/3797176,2
Yeni tikili,180 000,AZN,2 120 AZN/m²,"Satılır 3 otaqlı yeni tikili 85 m², Əhmədli m.",M.Hadi k.,3 / 17,85 m²,var,var,,https://bina.az/items/3724348,3
Yeni tikili,430 000,AZN,3 310 AZN/m²,"Satılır 3 otaqlı yeni tikili 130 m², İçəri Şəhər m.",Azərbaycan pr.,4 / 12,130 m²,var,var,,https://bina.az/items/3853752,3
Yeni tikili,185 460,AZN,2 200 AZN/m²,"Satılır 2 otaqlı yeni tikili 84.3 m², Nəriman Nərimanov m.",Ağa Neymətulla küçəsi,7 / 15,84.3 m²,var,yoxdur,,https://bina.az/items/3866654,2
Yeni tikili,210 000,AZN,2 270 AZN/m²,"Satılır 2 otaqlı yeni tikili 92.7 m², Nizami m.",Məhəmməd Naxçivani küç.,2 / 16,92.7 m²,var,yoxdur,,https://bina.az/items/3834804,2
Yeni tikili,1 200 450,AZN,2 650 AZN/m²,"Satılır 7 otaqlı yeni tikili 453 m², İçəri Şəhər m.",Rostoropoviçlər 4,11 / 12,453 m²,var,yoxdur,,https://bina.az/items/3866647,7
Köhnə tikili,230 000,AZN,3 050 AZN/m²,"Satılır 3 otaqlı köhnə tikili 75.5 m², Elmlər Akademiyası m.",İnşaatçılar pr.,5 / 16,75.5 m²,var,var,var,https://bina.az/items/3866655,3
Yeni tikili,170 000,AZN,2 380 AZN/m²,"Satılır 2 otaqlı yeni tikili 71.5 m², İnşaatçılar m.",Əbdülvahab Salamzadə küçəsi,11 / 12,71.5 m²,var,var,var,https://bina.az/items/3866653,2
Yeni tikili,395 000,AZN,2 820 AZN/m²,"Satılır 3 otaqlı yeni tikili 140 m², Xətai r.",8 Noyabr prospekti.,7 / 8,140 m²,var,var,,https://bina.az/items/3866649,3
Yeni tikili,490 000,AZN,3 600 AZN/m²,"Satılır 3 otaqlı yeni tikili 136 m², Xətai r.",Yaşıl Ada küçəsi.,4 / 6,136 m²,var,var,,https://bina.az/items/3866641,3
Yeni tikili,217 000,AZN,1 870 AZN/m²,"Satılır 3 otaqlı yeni tikili 116 m², Həzi Aslanov m.",Cavanşir küçəsi,8 / 16,116 m²,yoxdur,var,,https://bina.az/items/3866644,3
Yeni tikili,293 000,AZN,1 890 AZN/m²,"Satılır 4 otaqlı yeni tikili 155 m², Həzi Aslanov m.",Gəncə prospekti,7 / 20,155 m²,var,var,var,https://bina.az/items/3866643,4
Yeni tikili,227 000,AZN,2 520 AZN/m²,"Satılır 3 otaqlı yeni tikili 90 m², İnşaatçılar m.",Zahid Xəlilov,3 / 10,90 m²,var,var,,https://bina.az/items/3866642,3
Yeni tikili,277 000,AZN,2 220 AZN/m²,"Satılır 4 otaqlı yeni tikili 124.5 m², Dərnəgül m.",A.Kunanbayev küç.,7 / 17,124.5 m²,var,var,,https://bina.az/items/3865231,4
Yeni tikili,298 500,AZN,2 190 AZN/m²,"Satılır 3 otaqlı yeni tikili 136 m², Qara Qarayev m.",Şirin Mirzəyev küçəsi,13 / 17,136 m²,var,var,var,https://bina.az/items/3866638,3
Yeni tikili,265 000,AZN,2 650 AZN/m²,"Satılır 3 otaqlı yeni tikili 100 m², Nəsimi r.",Sübhi Salayev küçəsi,10 / 16,100 m²,var,var,var,https://bina.az/items/3866637,3
Yeni tikili,185 000,AZN,1 990 AZN/m²,"Satılır 2 otaqlı yeni tikili 93 m², Nəsimi m.",Qəzənfər Musabəyov küçəsi,11 / 13,93 m²,var,var,,https://bina.az/items/3866626,2
Yeni tikili,212 000,AZN,1 510 AZN/m²,"Satılır 3 otaqlı yeni tikili 140 m², Nizami r.",8-ci kilometr qəs.,15 / 19,140 m²,var,var,var,https://bina.az/items/3866632,3
Yeni tikili,275 000,AZN,1 870 AZN/m²,"Satılır 3 otaqlı yeni tikili 147 m², Memar Əcəmi m.",Mir Cəlal küçəsi,15 / 18,147 m²,var,var,var,https://bina.az/items/3819680,3
Yeni tikili,185 000,AZN,1 710 AZN/m²,"Satılır 3 otaqlı yeni tikili 108 m², Həzi Aslanov q.",Xudu Məmmədov 29/44,16 / 18,108 m²,var,var,var,https://bina.az/items/3866636,3
Köhnə tikili,120 000,AZN,1 200 AZN/m²,"Satılır 4 otaqlı köhnə tikili 100 m², Xalqlar Dostluğu m.",Bəhruz Nuriyev küç.7,1 / 5,100 m²,var,var,var,https://bina.az/items/3827258,4
Köhnə tikili,150 000,AZN,2 310 AZN/m²,"Satılır 2 otaqlı köhnə tikili 65 m², Nəriman Nərimanov m.",Orucəliyev küç.,3 / 5,65 m²,var,var,,https://bina.az/items/3866634,2
Yeni tikili,266 000,AZN,2 020 AZN/m²,"Satılır 3 otaqlı yeni tikili 132 m², Nəsimi r.",Ceyhun Hacibəyli 45,9 / 14,132 m²,yoxdur,yoxdur,,https://bina.az/items/3790821,3
Yeni tikili,245 000,AZN,1 670 AZN/m²,"Satılır 4 otaqlı yeni tikili 147 m², 20 Yanvar m.",Moskva prospekti,11 / 18,147 m²,yoxdur,var,,https://bina.az/items/3866627,4
Köhnə tikili,108 000,AZN,1 740 AZN/m²,"Satılır 2 otaqlı köhnə tikili 62 m², Avtovağzal m.",Rəşid ismayılov kücəsi,3 / 5,62 m²,var,var,,https://bina.az/items/3866625,2
Köhnə tikili,133 900,AZN,1 500 AZN/m²,"Satılır 3 otaqlı köhnə tikili 89 m², Memar Əcəmi m.",Mir Cəlal küçəsi,1 / 9,89 m²,var,yoxdur,,https://bina.az/items/3866622,3
Yeni tikili,430 000,AZN,2 610 AZN/m²,"Satılır 4 otaqlı yeni tikili 165 m², Nəsimi r.",Mirqasımov küç.,15 / 19,165 m²,var,var,,https://bina.az/items/3496322,4
Yeni tikili,170 000,AZN,1 890 AZN/m²,"Satılır 2 otaqlı yeni tikili 90 m², Azadlıq Prospekti m.",Şövkət Məmmədova küçəsi,15 / 18,90 m²,var,var,var,https://bina.az/items/3866615,2
Yeni tikili,258 000,AZN,2 300 AZN/m²,"Satılır 3 otaqlı yeni tikili 112 m², Nəriman Nərimanov m.",Qarabağ küçəsi.,5 / 16,112 m²,var,yoxdur,,https://bina.az/items/3866617,3
Yeni tikili,184 000,AZN,2 830 AZN/m²,"Satılır 3 otaqlı yeni tikili 65 m², Nəriman Nərimanov m.",Yanvar Nəsirov,4 / 17,65 m²,var,var,var,https://bina.az/items/3866613,3
Yeni tikili,620 000,AZN,1 940 AZN/m²,"Satılır 5 otaqlı yeni tikili 320 m², Nəriman Nərimanov m.","Faiq Yusifov küç.,164",17 / 17,320 m²,var,yoxdur,,https://bina.az/items/3854044,5
Yeni tikili,275 000,AZN,2 020 AZN/m²,"Satılır 3 otaqlı yeni tikili 136 m², Elmlər Akademiyası m.",Mətbuat prospekti,14 / 16,136 m²,var,var,var,https://bina.az/items/3168914,3
